Word,IPA
us,ʌs
first,fɝst
our,aʊɚ
how,haʊ
where,wɛɹ
after,ˈæftɚ
looked,lʊkt
come,kʌm
its,ɪts
came,keɪm
right,ɹaɪt
away,əˈweɪ
long,lɔŋ
old,oʊld
going,ˈɡoʊɪŋ
still,stɪl
day,deɪ
got,ɡɑt
say,seɪ
hand,hænd
went,wɛnt
head,hɛd
should,ʃʊd
face,feɪs
own,oʊn
make,meɪk
s,ɛs
well,wɛl
asked,æskt
life,laɪf
must,mʌst
himself,hɪmˈsɛlf
people,ˈpipəl
want,wɑnt
around,əˈɹaʊnd
might,maɪt
something,ˈsʌmθɪŋ
room,ɹum
take,teɪk
knew,nu
took,tʊk
such,sʌtʃ
told,toʊld
men,mɛn
door,dɔɹ
left,lɛft
being,ˈbiɪŋ
last,læst
because,bɪˈkʌz
look,lʊk
night,naɪt
those,ðoʊz
these,ðiz
house,haʊs
tell,tɛl
saw,sɔ
another,əˈnʌðɚ
while,waɪl
most,moʊst
turned,tɝnd
put,pʊt
felt,fɛlt
woman,ˈwʊmən
great,ɡɹeɪt
place,pleɪs
upon,əˈpɑn
Mr.,ˈmɪstɚ
years,jɪɹz
without,wɪˈðaʊt
found,faʊnd
always,ˈɔlweɪz
am,æm
nothing,ˈnʌθɪŋ
though,ðoʊ
against,əˈɡɛnst
same,seɪm
father,ˈfɑðɚ
home,hoʊm
many,ˈmɛni
work,wɝk
let,lɛt
seemed,siːmd
things,θɪŋz
few,fju
mother,ˈmʌðɚ
thing,θɪŋ
ever,ˈɛvɚ
may,meɪ
love,lʌv
every,ˈɛvɹi
voice,vɔɪs
three,θɹi
hands,hændz
once,wʌns
mind,maɪnd
enough,ɪˈnʌf
under,ˈʌndɚ
heard,hɝd
young,jʌŋ
moment,ˈmoʊmənt
