become,bɪˈkʌm
became,bɪˈkeɪm
live,lɪv
taking,ˈteɪkɪŋ
husband,ˈhʌzbənd
ground,ɡɹaʊnd
brother,ˈbɹʌðɚ
cold,koʊld
replied,ɹɪˈplaɪd
reason,ˈɹiːzən
hour,ˈaʊɚ
school,skuːl
ran,ɹæn
several,ˈsɛvɹəl
fell,fɛl
whose,huːz
saying,ˈseɪɪŋ
certain,ˈsɝtn̩
probably,ˈpɹɑbəbli
evening,ˈivnɪŋ
ago,əˈɡoʊ
answer,ˈænsɚ
show,ʃoʊ
run,ɹʌn
speak,spiːk
within,wɪˈðɪn
themselves,ðəmˈsɛlvz
met,mɛt
minutes,ˈmɪnɪts
ready,ˈɹɛdi
however,haʊˈɛvɚ
returned,ɹɪˈtɝnd
poor,pɔɹ
living,ˈlɪvɪŋ
spoke,spoʊk
longer,ˈlɔŋɚ
office,ˈɔfɪs
during,ˈdʊɹɪŋ
blue,bluː
bit,bɪt
outside,ˌaʊtˈsaɪd
order,ˈɔɹdɚ
followed,ˈfɑloʊd
late,leɪt
shook,ʃʊk
talking,ˈtɔkɪŋ
forward,ˈfɔɹwɚd
waiting,ˈweɪtɪŋ
sent,sɛnt
line,laɪn
chair,tʃɛɹ
power,ˈpaʊɚ
answered,ˈænsɚd
stop,stɑp
stay,steɪ
nodded,ˈnɑdɪd
quickly,ˈkwɪkli
road,ɹoʊd
blood,blʌd
hundred,ˈhʌndɹəd
hours,ˈaʊɚz
wrong,ɹɔŋ
lips,lɪps
continued,kənˈtɪnjud
sort,sɔɹt
Lord,lɔɹd
try,tɹaɪ
daughter,ˈdɔtɚ
city,ˈsɪti
fine,faɪn
watched,wɑtʃt
dear,dɪɹ
standing,ˈstændɪŋ
caught,kɔt
beautiful,ˈbjutəfəl
top,tɑp
slowly,ˈsloʊli
sir,sɝ
clear,klɪɹ
possible,ˈpɑsəbəl
early,ˈɝli
wall,wɑl
ten,tɛn
eye,aɪ
bring,bɹɪŋ
laughed,læft
sitting,ˈsɪtɪŋ
happy,ˈhæpi
hold,hoʊld
twenty,ˈtwɛnti
whether,ˈwɛðɚ
cut,kʌt
itself,ɪtˈsɛlf
pretty,ˈpɹɪti
nor,nɔɹ
closed,kloʊzd
anyone,ˈɛniˌwʌn
sun,sʌn
present,ˈpɹɛzənt
sleep,sliːp
