become,bɪˈkʌm
became,bɪˈkeɪm
live,lɪv
taking,ˈteɪkɪŋ
husband,ˈhʌzbənd
ground,ɡɹaʊnd
brother,ˈbɹʌðɚ
cold,koʊld
replied,ɹɪˈplaɪd
reason,ˈɹiːzən
hour,ˈaʊɚ
school,skuːl
ran,ɹæn
several,ˈsɛvɹəl
fell,fɛl
whose,huːz
saying,ˈseɪɪŋ
certain,ˈsɝtn̩
probably,ˈpɹɑbəbli
evening,ˈivnɪŋ
ago,əˈɡoʊ
answer,ˈænsɚ
show,ʃoʊ
run,ɹʌn
speak,spiːk
within,wɪˈðɪn
themselves,ðəmˈsɛlvz
met,mɛt
minutes,ˈmɪnɪts
ready,ˈɹɛdi
however,haʊˈɛvɚ
returned,ɹɪˈtɝnd
poor,pɔɹ
living,ˈlɪvɪŋ
spoke,spoʊk
longer,ˈlɔŋɚ
office,ˈɔfɪs
during,ˈdʊɹɪŋ
blue,bluː
bit,bɪt
outside,ˌaʊtˈsaɪd
order,ˈɔɹdɚ
followed,ˈfɑloʊd
late,leɪt
shook,ʃʊk
talking,ˈtɔkɪŋ
forward,ˈfɔɹwɚd
waiting,ˈweɪtɪŋ
sent,sɛnt
line,laɪn
chair,tʃɛɹ
power,ˈpaʊɚ
answered,ˈænsɚd
stop,stɑp
stay,steɪ
nodded,ˈnɑdɪd
quickly,ˈkwɪkli
road,ɹoʊd
blood,blʌd
hundred,ˈhʌndɹəd
hours,ˈaʊɚz
wrong,ɹɔŋ
lips,lɪps
continued,kənˈtɪnjud
sort,sɔɹt
Lord,lɔɹd
try,tɹaɪ
daughter,ˈdɔtɚ
city,ˈsɪti
fine,faɪn
watched,wɑtʃt
dear,dɪɹ
standing,ˈstændɪŋ
caught,kɔt
beautiful,ˈbjutəfəl
top,tɑp
slowly,ˈsloʊli
sir,sɝ
clear,klɪɹ
possible,ˈpɑsəbəl
early,ˈɝli
wall,wɑl
ten,tɛn
eye,aɪ
bring,bɹɪŋ
laughed,læft
sitting,ˈsɪtɪŋ
happy,ˈhæpi
hold,hoʊld
twenty,ˈtwɛnti
whether,ˈwɛðɚ
cut,kʌt
itself,ɪtˈsɛlf
pretty,ˈpɹɪti
nor,nɔɹ
closed,kloʊzd
anyone,ˈɛniˌwʌn
sun,sʌn
present,ˈpɹɛzənt
sleep,sliːp
the,ði
and,ænd
to,tu
of,ʌv
a,ə
in,ɪn
was,wʌz
that,ðæt
he,hi
not,nɑt
his,hɪz
her,hɝ
it,ɪt
you,ju
had,hæd
with,wɪð
for,fɔɹ
she,ʃi
as,æz
on,ɑn
so,soʊ
an,æn
could,kʊd
or,ɔɹ
been,bɪn
them,ðɛm
did,dɪd
we,wi
are,ɑɹ
what,wʌt
there,ðɛɹ
about,əˈbaʊt
which,wɪtʃ
their,ðɛɹ
into,ˈɪntu
like,laɪk
if,ɪf
who,hu
when,wɛn
no,noʊ
can,kæn
will,wɪl
your,jʊɹ
back,bæk
time,taɪm
more,mɔɹ
know,noʊ
then,ðɛn
man,mæn
down,daʊn
over,ˈoʊvɚ
now,naʊ
some,sʌm
just,dʒʌst
see,si
only,ˈoʊnli
than,ðæn
other,ˈʌðɚ
way,weɪ
has,hæz
before,bɪˈfɔɹ
two,tu
little,ˈlɪtəl
get,ɡɛt
very,ˈvɛɹi
any,ˈɛni
go,ɡoʊ
made,meɪd
too,tu
here,hɪɹ
never,ˈnɛvɚ
eyes,aɪz
think,θɪŋk
thought,θɔt
again,əˈɡɛn
through,θɹu
even,ˈivən
much,mʌtʃ
good,ɡʊd
off,ɔf
us,ʌs
first,fɝst
our,aʊɚ
how,haʊ
where,wɛɹ
after,ˈæftɚ
looked,lʊkt
come,kʌm
its,ɪts
came,keɪm
right,ɹaɪt
away,əˈweɪ
long,lɔŋ
old,oʊld
going,ˈɡoʊɪŋ
still,stɪl
day,deɪ
got,ɡɑt
say,seɪ
hand,hænd
went,wɛnt
head,hɛd
should,ʃʊd
face,feɪs
own,oʊn
make,meɪk
s,ɛs
well,wɛl
asked,æskt
life,laɪf
must,mʌst
